English Title,Native Title,Year,Country,Rating_mdl,Number of Raters_mdl,Rating_douban,Number of Raters_douban,ID,URL
Nothing but Thirty,三十而已,2020,China,8.3,1195,6.6,285199,26608230,https://mydramalist.com/37221-nothing-but-thirty
The Psychologist,女心理师,2021,China,7.7,1957,5.2,239099,30313647,https://mydramalist.com/65171-female-psychiatrist
Love O2O,微微一笑很倾城,2016,China,8.3,47769,7.2,249649,26427831,https://mydramalist.com/15031-love-o2o
Scarlet Heart,步步惊心,2011,China,8.4,5458,8.4,322353,5384548,https://mydramalist.com/2969-scarlet-heart
Hidden Love,偷偷藏不住,2023,China,9.0,35042,6.7,187277,35899932,https://mydramalist.com/729705-hidden-love
Who Rules the World,且试天下,2022,China,8.7,16569,5.6,149904,26339609,https://mydramalist.com/54851-try-the-world
Noble Aspirations,青云志,2016,China,8.1,2687,6.9,150890,25823275,https://mydramalist.com/16645-noble-aspirations
Sword Snow Stride,雪中悍刀行,2021,China,8.7,4263,5.9,184210,27034752,https://mydramalist.com/59487-sword-snow-stride
Heavenly Sword and Dragon Slaying Sabre,倚天屠龙记,2019,China,8.2,2304,8.5,176415,3901418,https://mydramalist.com/22656-heavenly-sword-and-dragon-saber
Lovely Us,如此可爱的我们,2020,China,8.6,3070,8.1,169042,34801099,https://mydramalist.com/52897-lovely-us
Be Reborn,重生之门,2022,China,8.3,1283,6.7,186106,35359490,https://mydramalist.com/688487-be-reborn
Ode to Joy Season 2,欢乐颂2,2017,China,8.2,1324,5.4,139809,26743573,https://mydramalist.com/20582-ode-to-joy-2
Wu Xin: The Monster Killer,无心法师,2015,China,7.9,1114,8.4,144241,26298756,https://mydramalist.com/14867-wu-xin-the-monster-killer
The Princess Wei Young,锦绣未央,2016,China,8.4,9964,4.9,73973,26344999,https://mydramalist.com/15338-the-princess-wei-young
With You,在一起,2020,China,8.3,552,8.4,106604,34991672,https://mydramalist.com/58585-together
Surgeons,外科风云,2017,China,8.2,1695,7.3,89830,26683725,https://mydramalist.com/20536-surgeons
Sweet Combat,甜蜜暴击,2018,China,7.7,5866,2.8,81656,27034587,https://mydramalist.com/24095-sweet-combat
I Don't Want to Be Friends With You,我才不要和你做朋友呢,2020,China,8.3,1326,8.1,206659,34863327,https://mydramalist.com/51651-i-don-t-want-to-be-friends-with-you
Fighter of the  Destiny,择天记,2017,China,7.6,3031,4.3,93227,26614082,https://mydramalist.com/18952-fighter-of-the-destiny
Being a Hero,冰雨火,2022,China,8.0,757,6.9,202001,34908108,https://mydramalist.com/53543-being-a-hero
The Destiny of White Snake,天乩之白蛇传说,2018,China,7.9,2066,6.2,86092,26956031,https://mydramalist.com/22500-the-destiny-of-white-snake
A Romance of the Little Forest,两个人的小森林,2022,China,8.0,5409,6.2,73376,35431984,https://mydramalist.com/696659-two-people-s-little-forest
Once Upon a Time in Lingjian Mountain,从前有座灵剑山,2019,China,8.2,3629,7.0,89446,26877434,https://mydramalist.com/33252-once-upon-a-time-there-was-a-spirit-blade-mountain
Legend of Yun Xi,芸汐传,2018,China,8.1,8033,6.0,90137,26897025,https://mydramalist.com/23956-legend-of-yun-xi
Never Say Goodbye,不说再见,2021,China,7.9,779,3.9,70276,30284901,https://mydramalist.com/30302-never-say-goodbye
Eagles and Youngster,天坑鹰猎,2018,China,8.1,593,7.4,128022,27119802,https://mydramalist.com/28725-eagles-and-youngster
The Legend of Anle,安乐传,2023,China,7.7,3354,5.7,113087,35248734,https://mydramalist.com/79871-legend-of-anle
Novoland: Pearl Eclipse,斛珠夫人,2021,China,8.3,4064,4.8,126248,26798457,https://mydramalist.com/31998-novoland-pearl-eclipse
